Serial No.,Research Paper Title,Journal / Conference Name,Year,Problem / Objective,Methodology Adopted,Metrics Used,Limitations,Future Enhancements
11,"Blockchain Based Deep Fake Detection and Verification*","Journal of Electrical Systems",2025,"Combine a CNN detector with Ethereum blockchain for immutable deepfake detection records","CNN detector + Ethereum smart contract + IPFS content identifiers (CIDs)","Accuracy on image dataset with real/fake labels","No visual explanation of the AI verdict; provenance is a hash-only record without evidence trail","Integrate XAI; add PDF certificate with visual proof; stress-test robustness"
12,"A Blockchain-based Framework for Content Provenance and Authenticity*","Proc. ECAI (16th Int. Conf. Electronics, Computers & AI)",2024,"Track content provenance and history to an original source using blockchain","Ethereum smart contract + IPFS hash anchoring","Provenance integrity verification","No AI-based forgery/deepfake classification performed — assumes content is authentic at upload","Integrate a deepfake detection model to verify content before anchoring"
13,"Blockchain Technology for Combating Deepfake and Protect Video/Image Integrity","J. Korea Multimedia Society, Rashid, Lee & Kwon",2021,"Trace media to a trusted origin using blockchain and IPFS hashing","Ethereum blockchain + IPFS-hash provenance","Provenance traceability, hash matching","Foundational framework only; no built-in deepfake classifier; trust anchored at upload time","Add automated AI screening before hash registration"
14,"A Blockchain-Based Secure Framework for Multimedia Content Tracing and Copyright Protection","IEEE Trans. Industrial Informatics, Li, Wang & Kumari",2023,"Provide blockchain-based content tracing for copyright protection","Blockchain-based content tracing with access-control mechanisms","Copyright traceability, access control metrics","Focuses only on copyright; does not address AI-generated manipulation/deepfake detection","Extend to deepfake detection; combine with AI classification"
15,"NFTs for Combating Deepfakes and Fake Metaverse Digital Contents*","ScienceDirect",2024,"Extend provenance tracking into NFT/metaverse contexts using blockchain","Blockchain + NFTs + IPFS hashing for digital asset provenance","Provenance integrity in metaverse assets","Trust anchored only at upload/mint time; no pixel-level forgery analysis","Integrate AI deepfake screening before NFT minting"
16,"Combating Deepfake Videos Using Blockchain and Smart Contracts","Khalifa University, Salah & Habib",2019,"Prove video authenticity by tracing to a trusted publisher via blockchain","Ethereum smart contracts for source traceability","Source verification success rate","Early proof-of-concept; no AI detection component; if publisher is compromised, trust fails","Add automated deepfake detection; scale beyond single-publisher trust model"
17,"Birds of a Feather: Enhancing Multimodal Fake News Detection via Multi-Element Retrieval (ReTIP)*","IEEE ICDE (Int. Conf. Data Engineering)",2025,"Overcome knowledge-paucity in multimodal fake news detection by retrieving related content","Retrieval-augmented multimodal (text + image) fusion with multi-element retrieval","Detection accuracy on social-media multimodal news corpus","Not integrated with a verifiable per-asset evidentiary chain; no blockchain/hash anchoring","Add per-asset blockchain audit trail; extend to video deepfakes"
18,"A Comprehensive Review of Deepfake Detection Techniques","MDPI Journal",2026,"Systematic review of classical ML, CNN, and Transformer approaches for deepfake detection (2018–2025)","Survey / meta-analysis across 100+ papers","Cross-dataset generalization drop: Transformers ~11.3% vs CNNs >15%","Survey only; no system proposed; identifies generalization and robustness as persistent open gaps","Develop systems that address the identified gaps systematically"
19,"Image Forgery Detection and Localization: A 2016–2025 Survey*","Pattern Recognition (Huang et al.), vol. 165",2025,"Comprehensive taxonomy of image forensics methods (handcrafted, CNN, Transformer)","Survey / taxonomy across handcrafted features, CNN, and Transformer forensics","Coverage of Columbia, CASIA, NIST16, DEFACTO + 8 benchmarks","Flags cross-dataset generalization, compression robustness, and explainability as persistent open challenges","Design robust, explainable detectors with systematic degradation benchmarks"
20,"C2PA Content Credentials Specification","Coalition for Content Provenance and Authenticity (C2PA), v2.3",2026,"Cryptographically sign provenance manifests at content creation/editing time","Cryptographic manifest signing attached to media files at capture/edit","Industry standard compliance; provenance chain integrity","Explicitly does NOT verify the truth of content — an AI generator can sign synthetic media with a 'valid' manifest","Integrate with AI-based content verification to check truth, not just provenance"
